Serial number,Case no.,Slide number,Cells,Split,Area,Mean,Perim.,Circ.,Feret,MinFeret,AR,Round,Solidity,Nuclear_Size_Index,Irregularity_Index,Pleomorphism_Index,Feret_Ratio,NC_Compactness,Cluster,Grade,Grade_Label
324,2368,S5,C4,Train,114.895,98.874,45.876,0.686,14.563,11.944,1.333,0.75,0.909,1673.215885,0.31399999999999995,0.33325,0.8201606811783286,1.4576729499023593,2,1,Well-differentiated
325,2368,S5,C5,Train,125.142,92.479,45.423,0.762,16.517,11.261,1.374,0.728,0.921,2066.970414,0.238,0.37372800000000006,0.6817824060059332,1.3120146149150926,2,1,Well-differentiated
326,2386,S1,C1,Train,78.829,108.093,35.678,0.778,11.926,9.07,1.287,0.777,0.94,940.114654,0.22199999999999998,0.28700099999999995,0.7605232265638102,1.2850058980043726,2,1,Well-differentiated
327,2386,S1,C2,Train,155.121,81.446,50.99,0.75,17.418,12.087,1.446,0.691,0.968,2701.897578,0.25,0.44681400000000004,0.6939373062349294,1.33379647132097,2,1,Well-differentiated
328,2386,S1,C3,Validation,138.077,110.109,48.312,0.743,16.237,11.712,1.292,0.774,0.964,2241.956249,0.257,0.291992,0.7213155139496213,1.3451751215553482,2,1,Well-differentiated
329,2386,S1,C4,Validation,116.366,77.143,46.644,0.672,15.904,9.414,1.658,0.603,0.965,1850.684864,0.32799999999999996,0.658226,0.5919265593561368,1.487837851843482,0,3,Poorly-differentiated
330,2386,S1,C5,Train,203.869,91.933,59.148,0.732,21.23,12.876,1.666,0.6,0.961,4328.13887,0.268,0.6664,0.6065002355157795,1.3655860502551103,2,1,Well-differentiated
331,2386,S2,C1,Train,78.474,139.548,38.068,0.68,13.075,9.124,1.351,0.74,0.934,1026.04755,0.31999999999999995,0.35126,0.6978202676864246,1.4695503383480681,2,1,Well-differentiated
332,2386,S2,C2,Train,59.604,85.271,30.063,0.829,10.576,8.108,1.321,0.757,0.956,630.371904,0.17100000000000004,0.321003,0.766641452344932,1.2066445721223602,2,1,Well-differentiated
333,2386,S2,C3,Train,55.9,111.76,29.151,0.827,9.245,8.333,1.049,0.953,0.95,516.7955,0.17300000000000004,0.04930300000000004,0.9013520822065982,1.2097210646130614,2,1,Well-differentiated
334,2386,S2,C4,Train,104.547,101.003,40.825,0.788,12.491,11.467,1.092,0.916,0.955,1305.896577,0.21199999999999997,0.09172799999999996,0.9180209751020736,1.2686182292377572,2,1,Well-differentiated
335,2386,S2,C5,Train,79.59,109.847,36.582,0.747,14.673,8.103,1.826,0.548,0.923,1167.8240700000001,0.253,0.825352,0.5522388059701492,1.338032067981926,0,3,Poorly-differentiated
336,2386,S3,C1,Train,185.506,79.042,53.021,0.829,16.269,14.635,1.12,0.893,0.973,3017.997114,0.17100000000000004,0.11983999999999999,0.8995635871903621,1.2059463959003658,1,2,Moderately-differentiated
337,2386,S3,C2,Validation,189.463,85.124,58.107,0.705,19.343,15.934,1.36,0.735,0.913,3664.782809,0.29500000000000004,0.36040000000000005,0.8237605335263403,1.4181515173932009,1,2,Moderately-differentiated
338,2386,S3,C3,Train,174.296,88.815,61.664,0.576,20.954,12.461,1.812,0.552,0.908,3652.198384,0.42400000000000004,0.8117759999999999,0.5946835926314785,1.7360654795655677,0,3,Poorly-differentiated
339,2386,S3,C4,Train,154.107,101.572,50.56,0.758,16.662,13.894,1.1,0.909,0.941,2567.730834,0.242,0.10009999999999998,0.8338734845756812,1.3200242219141187,1,2,Moderately-differentiated
340,2386,S3,C5,Train,142.541,67.338,47.438,0.796,16.031,12.543,1.209,0.827,0.966,2285.0747709999996,0.20399999999999996,0.20915700000000007,0.7824215582309276,1.2563281074493617,1,2,Moderately-differentiated
341,2386,S4,C1,Train,335.86,115.45,72.126,0.811,24.375,18.615,1.305,0.766,0.977,8186.587500000001,0.18899999999999995,0.30537,0.7636923076923077,1.232581222860301,1,2,Moderately-differentiated
342,2386,S4,C2,Validation,106.881,106.83,40.081,0.836,15.212,10.83,1.368,0.731,0.957,1625.873772,0.16400000000000003,0.36799200000000004,0.7119379437286353,1.196097890148154,2,1,Well-differentiated
343,2386,S4,C3,Train,120.881,110.022,43.038,0.82,13.929,11.892,1.119,0.894,0.957,1683.751449,0.18000000000000005,0.11861399999999998,0.8537583458970492,1.219372101284224,2,1,Well-differentiated
344,2386,S4,C4,Validation,113.576,117.129,42.969,0.773,15.002,10.194,1.429,0.7,0.947,1703.867152,0.22699999999999998,0.4287000000000001,0.6795093987468338,1.2936418594004535,2,1,Well-differentiated
345,2386,S4,C5,Train,168.462,77.482,51.337,0.803,17.19,14.404,1.141,0.877,0.95,2895.86178,0.19699999999999995,0.140343,0.8379290285049447,1.2449421058268118,1,2,Moderately-differentiated
346,2386,S5,C1,Train,235.117,115.987,65.201,0.695,19.743,17.187,1.177,0.85,0.908,4641.914930999999,0.30500000000000005,0.17655000000000004,0.8705363926454948,1.4388470064799754,1,2,Moderately-differentiated
347,2386,S5,C2,Validation,229.537,92.371,59.11,0.826,20.302,15.822,1.215,0.823,0.958,4660.060174,0.17400000000000004,0.21505500000000008,0.7793320855088168,1.2113212986120578,1,2,Moderately-differentiated
348,2386,S5,C3,Train,115.453,91.693,43.239,0.776,14.887,10.36,1.378,0.726,0.962,1718.7488110000002,0.22399999999999998,0.377572,0.6959091825082286,1.2886536147468217,2,1,Well-differentiated
349,2386,S5,C4,Train,116.417,94.936,42.498,0.81,13.788,11.744,1.174,0.852,0.948,1605.157596,0.18999999999999995,0.17375200000000002,0.85175514940528,1.234555779035837,2,1,Well-differentiated
350,2386,S5,C5,Train,132.852,105.385,47.035,0.755,15.257,12.613,1.215,0.823,0.927,2026.922964,0.245,0.21505500000000008,0.8267024972143934,1.325147848800072,2,1,Well-differentiated
351,2408,S1,C1,Train,77.611,131.571,34.582,0.816,11.654,9.009,1.246,0.803,0.974,904.478594,0.18400000000000005,0.24546199999999993,0.7730392998112237,1.2262162569801942,2,1,Well-differentiated
352,2408,S1,C2,Train,74.568,135.482,32.906,0.865,11.872,8.441,1.393,0.718,0.981,885.271296,0.135,0.39282600000000006,0.7110006738544475,1.155547567677885,2,1,Well-differentiated
353,2408,S1,C3,Validation,58.132,137.947,29.114,0.862,10.074,7.77,1.266,0.79,0.965,585.621768,0.138,0.26586,0.7712924359737939,1.1603222665799218,2,1,Well-differentiated
354,2408,S1,C4,Train,38.704,144.446,25.997,0.72,9.406,6.409,1.452,0.689,0.93,364.049824,0.28,0.4515720000000001,0.6813735913246863,1.3895710364741811,0,3,Poorly-differentiated
355,2408,S1,C5,Train,81.619,112.4,35.997,0.792,12.465,10.019,1.163,0.86,0.97,1017.3808349999999,0.20799999999999996,0.16282000000000002,0.8037705575611713,1.2633726841285915,2,1,Well-differentiated
356,2408,S2,C1,Train,71.676,148.982,33.982,0.78,11.594,8.763,1.321,0.757,0.963,831.011544,0.21999999999999997,0.321003,0.7558219768845955,1.282077404780457,2,1,Well-differentiated
357,2408,S2,C2,Train,121.743,133.778,46.738,0.7,14.589,11.937,1.126,0.888,0.942,1776.108627,0.30000000000000004,0.12611199999999997,0.8182192062512852,1.427862490588548,2,1,Well-differentiated
358,2408,S2,C3,Validation,67.568,154.143,32.79,0.79,11.091,8.108,1.315,0.76,0.945,749.3966879999999,0.20999999999999996,0.3156,0.7310431881705889,1.2662862912089357,2,1,Well-differentiated
359,2408,S2,C4,Train,49.205,119.627,27.936,0.792,9.871,6.746,1.449,0.69,0.944,485.702555,0.20799999999999996,0.4491900000000001,0.6834160672677541,1.2621452694507824,2,1,Well-differentiated
360,2408,S2,C5,Validation,56.966,152.57,28.389,0.888,9.758,7.883,1.184,0.845,0.966,555.874228,0.11199999999999999,0.18352000000000002,0.8078499692559952,1.1258346219631306,2,1,Well-differentiated
361,2408,S3,C1,Train,62.14,139.398,30.639,0.832,10.778,7.852,1.323,0.756,0.95,669.74492,0.16800000000000004,0.322812,0.728521061421414,1.2021760187187582,2,1,Well-differentiated
362,2408,S3,C2,Train,170.644,117.919,51.386,0.812,17.609,12.633,1.343,0.745,0.97,3004.8701960000003,0.18799999999999994,0.342465,0.7174172298256573,1.231370481386204,2,1,Well-differentiated
363,2408,S3,C3,Train,69.089,135.858,33.622,0.768,11.369,8.108,1.402,0.714,0.959,785.472841,0.23199999999999998,0.400972,0.7131673849942828,1.302051963785014,2,1,Well-differentiated
364,2408,S3,C4,Train,72.184,131.293,34.792,0.749,11.148,8.559,1.224,0.817,0.964,804.707232,0.251,0.22399200000000005,0.7677610333692142,1.3344674373518493,2,1,Well-differentiated
365,2408,S3,C5,Train,72.387,139.848,34.879,0.748,12.759,7.793,1.726,0.58,0.955,923.585733,0.252,0.72492,0.6107845442432792,1.3373885718920886,0,3,Poorly-differentiated
366,2408,S4,C1,Train,158.52,126.012,49.711,0.806,15.37,13.288,1.089,0.918,0.974,2436.4524,0.19399999999999995,0.08929799999999996,0.8645413142485362,1.2405408549532693,1,2,Moderately-differentiated
367,2408,S4,C2,Train,84.054,126.408,39.79,0.667,14.109,9.115,1.575,0.635,0.907,1185.917886,0.33299999999999996,0.574875,0.6460415337727692,1.4989240526095071,0,3,Poorly-differentiated
368,2408,S4,C3,Validation,58.335,127.616,30.342,0.796,11.613,7.167,1.532,0.653,0.971,677.444355,0.20399999999999996,0.531604,0.6171531903900801,1.2558834628757631,2,1,Well-differentiated
369,2408,S4,C4,Train,67.923,116.704,34.338,0.724,12.876,8.047,1.665,0.601,0.944,874.576548,0.276,0.664335,0.6249611680646164,1.3814121425995152,0,3,Poorly-differentiated
370,2408,S4,C5,Train,29.472,136.933,24.177,0.634,8.074,4.924,1.651,0.606,0.957,237.956928,0.366,0.650494,0.6098588060440923,1.5782847072246977,0,3,Poorly-differentiated
371,2408,S5,C1,Train,77.459,164.353,36.05,0.749,11.686,8.934,1.289,0.776,0.955,905.185874,0.251,0.28873599999999994,0.7645045353414341,1.335146089735117,2,1,Well-differentiated
372,2408,S5,C2,Validation,95.619,165.996,41.6,0.694,13.336,9.43,1.454,0.688,0.913,1275.174984,0.30600000000000005,0.45364800000000005,0.7071085782843431,1.4402324763755656,0,3,Poorly-differentiated
373,2408,S5,C3,Train,56.002,157.517,30.033,0.78,9.871,7.658,1.307,0.765,0.944,552.795742,0.21999999999999997,0.30714499999999995,0.7758079221963327,1.2816930546209135,2,1,Well-differentiated
374,2408,S5,C4,Train,41.443,170.754,29.56,0.596,9.502,6.225,1.511,0.662,0.918,393.791386,0.404,0.5107179999999999,0.6551252367922542,1.6778294366004194,0,3,Poorly-differentiated
375,2408,S5,C5,Validation,72.437,169.164,33.026,0.835,10.981,9.234,1.123,0.89,0.953,795.430697,0.16500000000000004,0.12352999999999999,0.8409070212184683,1.198233986071768,2,1,Well-differentiated
376,2424,S1,C1,Train,32.769,110.735,22.164,0.838,7.474,5.86,1.282,0.78,0.945,244.915506,0.16200000000000003,0.28203999999999996,0.7840513781107841,1.1929527168540066,2,1,Well-differentiated
377,2424,S1,C2,Train,59.248,97.113,29.673,0.846,10.106,7.731,1.344,0.744,0.96,598.760288,0.15400000000000003,0.34406400000000004,0.7649910943993667,1.182604029487516,2,1,Well-differentiated
