Serial number,Case no.,Slide number,Cells,Split,Area,Mean,Perim.,Circ.,Feret,MinFeret,AR,Round,Solidity,Nuclear_Size_Index,Irregularity_Index,Pleomorphism_Index,Feret_Ratio,NC_Compactness,Cluster,Grade,Grade_Label
405,2437,S1,C5,Train,31.197,163.481,20.894,0.898,7.054,6.122,1.091,0.917,0.946,220.063638,0.10199999999999998,0.09055299999999995,0.8678763821944995,1.113577593387526,2,1,Well-differentiated
406,2437,S2,C1,Validation,28.407,147.643,20.547,0.846,7.429,5.571,1.381,0.724,0.94,211.035603,0.15400000000000003,0.38115600000000005,0.7498990442859065,1.1826646246167563,2,1,Well-differentiated
407,2437,S2,C2,Train,18.211,149.755,17.753,0.726,5.498,4.684,1.169,0.855,0.929,100.124078,0.274,0.16950500000000002,0.8519461622408149,1.3772089860997216,2,1,Well-differentiated
408,2437,S2,C3,Train,26.378,157.538,21.181,0.739,7.934,4.672,1.83,0.546,0.915,209.283052,0.261,0.83082,0.5888580791530122,1.3534468090075267,0,3,Poorly-differentiated
409,2437,S2,C4,Train,20.138,163.879,18.587,0.733,6.578,4.556,1.504,0.665,0.898,132.46776400000002,0.267,0.50384,0.6926117360899969,1.365187796175843,2,1,Well-differentiated
410,2437,S2,C5,Validation,47.176,166.542,28.301,0.74,9.411,6.744,1.329,0.752,0.93,443.973336,0.26,0.329592,0.716608224418234,1.351053615204786,2,1,Well-differentiated
411,2437,S3,C1,Train,45.299,146.151,26.185,0.83,8.632,7.695,1.089,0.918,0.931,391.020968,0.17000000000000004,0.08929799999999996,0.8914504170528268,1.2044996485639041,2,1,Well-differentiated
412,2437,S3,C2,Train,24.704,138.062,20.133,0.766,7.648,4.73,1.633,0.612,0.915,188.936192,0.23399999999999999,0.6336040000000001,0.6184623430962344,1.3056892978018815,0,3,Poorly-differentiated
413,2437,S3,C3,Train,23.892,136.554,20.685,0.702,6.282,5.338,1.184,0.845,0.929,150.089544,0.29800000000000004,0.18352000000000002,0.8497293855460044,1.4251109609000578,2,1,Well-differentiated
414,2437,S3,C4,Train,18.617,132.744,17.103,0.8,6.378,4.331,1.493,0.67,0.922,118.739226,0.19999999999999996,0.49268999999999996,0.6790529946691753,1.2503310855416243,2,1,Well-differentiated
415,2437,S3,C5,Train,23.486,110.533,21.336,0.648,7.253,4.719,1.51,0.662,0.88,170.34395800000001,0.352,0.51038,0.6506273266234662,1.5424357578321972,2,1,Well-differentiated
416,2437,S4,C1,Train,29.371,162.718,22.477,0.731,7.538,5.293,1.519,0.658,0.958,221.398598,0.269,0.5194979999999999,0.7021756434067392,1.368825521213728,0,3,Poorly-differentiated
417,2437,S4,C2,Validation,26.581,136.994,20.964,0.76,7.941,4.955,1.579,0.633,0.959,211.07972099999998,0.24,0.5794929999999999,0.6239768291147211,1.3157310465064733,0,3,Poorly-differentiated
418,2437,S4,C3,Train,20.798,131.151,17.935,0.813,6.145,4.392,1.337,0.748,0.974,127.80370999999998,0.18700000000000006,0.336924,0.7147274206672092,1.2307541933016062,2,1,Well-differentiated
419,2437,S4,C4,Train,25.211,119.056,21.898,0.661,7.765,4.32,1.853,0.54,0.936,195.76341499999998,0.33899999999999997,0.8523799999999999,0.5563425627817129,1.5135924977174418,0,3,Poorly-differentiated
420,2437,S4,C5,Validation,22.015,143.979,19.875,0.7,7.372,4.244,1.797,0.556,0.953,162.29458,0.30000000000000004,0.7978679999999999,0.5756918068366793,1.4278603070016913,0,3,Poorly-differentiated
421,2437,S5,C1,Train,45.603,155.956,27.751,0.744,11.892,5.574,2.046,0.489,0.953,542.310876,0.256,1.0455059999999998,0.46871846619576185,1.343859906400886,0,3,Poorly-differentiated
422,2437,S5,C2,Validation,37.03,155.115,23.258,0.86,8.454,6.211,1.352,0.74,0.95,313.05162,0.14,0.35152000000000005,0.7346818074284363,1.1624684006192167,2,1,Well-differentiated
423,2437,S5,C3,Train,29.979,100.186,22.207,0.764,8.382,5.413,1.669,0.599,0.929,251.283978,0.236,0.669269,0.6457885946074923,1.309039582846574,2,1,Well-differentiated
424,2437,S5,C4,Train,46.262,156.155,28.58,0.712,9.745,6.34,1.563,0.64,0.934,450.82318999999995,0.28800000000000003,0.56268,0.650590046177527,1.4050448279206131,0,3,Poorly-differentiated
425,2437,S5,C5,Validation,44.335,140.38,26.662,0.784,9.674,6.496,1.469,0.681,0.948,428.89679,0.21599999999999997,0.46861099999999994,0.6714905933429812,1.2759359421449985,2,1,Well-differentiated
426,2497,S1,C1,Train,28.153,117.56,19.875,0.896,6.914,5.743,1.129,0.886,0.972,194.64984199999998,0.10399999999999998,0.128706,0.8306334972519527,1.1165539963287123,2,1,Well-differentiated
427,2497,S1,C2,Train,25.262,129.456,19.391,0.844,6.965,5.477,1.136,0.88,0.955,175.94983,0.15600000000000003,0.13631999999999997,0.7863603732950467,1.1844665974089228,2,1,Well-differentiated
428,2497,S1,C3,Train,46.82,183.876,28.459,0.726,8.576,7.975,1.027,0.974,0.935,401.52832,0.274,0.02670200000000002,0.9299207089552238,1.3765690406220157,2,1,Well-differentiated
429,2497,S1,C4,Train,18.414,140.857,16.63,0.837,6.246,4.13,1.526,0.655,0.938,115.01384400000002,0.16300000000000003,0.52647,0.6612231828370156,1.1951612273588297,2,1,Well-differentiated
430,2497,S1,C5,Validation,19.935,123.02,23.74,0.445,6.749,4.459,1.52,0.658,0.869,134.541315,0.5549999999999999,0.51984,0.6606904726626167,2.2497555155580105,0,3,Poorly-differentiated
431,2497,S2,C1,Train,64.423,98.567,32.919,0.747,11.396,7.86,1.425,0.702,0.911,734.1645080000001,0.253,0.4246500000000001,0.6897156897156898,1.33857422750327,2,1,Well-differentiated
432,2497,S2,C2,Train,35.711,97.335,24.926,0.722,9.838,4.73,2.057,0.486,0.953,351.32481799999994,0.278,1.057298,0.4807887782069527,1.3845011015578244,0,3,Poorly-differentiated
433,2497,S2,C3,Train,47.886,139.987,26.539,0.854,9.703,6.883,1.441,0.694,0.952,464.637858,0.14600000000000002,0.4409460000000001,0.7093682366278471,1.1704441186184154,2,1,Well-differentiated
434,2497,S2,C4,Validation,41.038,103.909,23.887,0.904,8.415,6.982,1.165,0.858,0.957,345.33476999999993,0.09599999999999997,0.16543000000000002,0.8297088532382652,1.1064382165196847,2,1,Well-differentiated
435,2497,S2,C5,Validation,38.197,123.138,25.922,0.714,9.408,6.511,1.33,0.752,0.896,359.357376,0.28600000000000003,0.32984,0.6920705782312926,1.3999028376523588,2,1,Well-differentiated
436,2497,S3,C1,Train,83.343,155.973,38.739,0.698,13.094,9.087,1.472,0.68,0.951,1091.293242,0.30200000000000005,0.4710399999999999,0.693981976477776,1.4329063862903084,2,1,Well-differentiated
437,2497,S3,C2,Train,136.911,117.812,47.099,0.776,14.589,12.79,1.097,0.912,0.957,1997.394579,0.22399999999999998,0.09653599999999996,0.8766879155528137,1.2893628892784628,1,2,Moderately-differentiated
438,2497,S3,C3,Train,66.249,127.366,33.282,0.752,12.295,7.432,1.743,0.574,0.952,814.5314549999999,0.248,0.7425180000000001,0.6044733631557544,1.3305452268381017,0,3,Poorly-differentiated
439,2497,S3,C4,Train,76.698,158.554,35.274,0.775,11.209,9.615,1.046,0.956,0.947,859.7078819999999,0.22499999999999998,0.046024000000000044,0.8577928450352396,1.2909681205023726,2,1,Well-differentiated
440,2497,S3,C5,Train,69.597,125.876,31.307,0.892,10.816,8.559,1.186,0.843,0.968,752.761152,0.10799999999999998,0.18620200000000003,0.7913276627218934,1.1206823260510799,2,1,Well-differentiated
441,2497,S4,C1,Train,48.85,141.464,27.008,0.842,9.502,6.757,1.397,0.716,0.951,464.1727,0.15800000000000003,0.39674800000000005,0.711113449800042,1.1882570996450743,2,1,Well-differentiated
442,2497,S4,C2,Validation,65.64,113.407,31.514,0.831,10.123,8.784,1.126,0.888,0.961,664.47372,0.16900000000000004,0.12611199999999997,0.8677269584115382,1.2040059273088743,2,1,Well-differentiated
443,2497,S4,C3,Train,36.777,164.716,24.703,0.757,9.406,5.856,1.684,0.594,0.916,345.924462,0.243,0.683704,0.6225813310652775,1.3204234633860175,0,3,Poorly-differentiated
444,2497,S4,C4,Validation,24.754,125.861,20.597,0.733,7.982,4.279,1.979,0.505,0.928,197.586428,0.267,0.9796050000000001,0.5360811826609871,1.3638062844773582,0,3,Poorly-differentiated
445,2497,S4,C5,Train,38.552,134.118,23.932,0.846,8.665,6.211,1.418,0.705,0.944,334.05307999999997,0.15400000000000003,0.41831,0.716791690709752,1.182227918384735,2,1,Well-differentiated
446,2497,S5,C1,Train,36.726,146.887,23.667,0.824,8.619,5.778,1.534,0.652,0.96,316.54139399999997,0.17600000000000005,0.533832,0.6703793943612948,1.2136764573195475,2,1,Well-differentiated
447,2497,S5,C2,Train,61.988,151.173,31.287,0.796,9.808,8.281,1.109,0.902,0.978,607.978304,0.20399999999999996,0.10868199999999997,0.8443107667210441,1.2566384848857532,2,1,Well-differentiated
448,2497,S5,C3,Train,36.168,144.673,22.383,0.907,8.49,5.786,1.452,0.689,0.977,307.06632,0.09299999999999997,0.4515720000000001,0.6815076560659599,1.1023061523571827,2,1,Well-differentiated
449,2497,S5,C4,Validation,39.972,151.532,25.05,0.8,7.988,6.755,1.169,0.856,0.967,319.29633600000005,0.19999999999999996,0.168336,0.8456434651977967,1.249251034192961,2,1,Well-differentiated
450,2497,S5,C5,Train,43.929,142.726,24.866,0.893,8.371,7.087,1.134,0.882,0.97,367.729659,0.10699999999999998,0.133812,0.8466133078485246,1.1200842165753493,2,1,Well-differentiated
451,2505,S1,C1,Train,73.147,149.41,34.621,0.767,12.51,8.356,1.505,0.664,0.955,915.06897,0.23299999999999998,0.5056799999999999,0.6679456434852118,1.3039857124866672,2,1,Well-differentiated
452,2505,S1,C2,Train,73.198,141.859,35.97,0.711,11.469,8.858,1.274,0.785,0.936,839.5078619999999,0.28900000000000003,0.27391,0.7723428372133578,1.4066038335027367,2,1,Well-differentiated
453,2505,S1,C3,Train,61.988,157.905,32.335,0.745,11.209,8.191,1.466,0.682,0.918,694.823492,0.255,0.46618799999999994,0.7307520742260685,1.3422340200480705,2,1,Well-differentiated
454,2505,S1,C4,Train,75.684,143.352,35.441,0.757,13.219,7.454,1.754,0.57,0.966,1000.4667959999999,0.243,0.7542200000000001,0.5638853165897572,1.3206811941315606,0,3,Poorly-differentiated
455,2505,S1,C5,Validation,71.829,147.035,33.693,0.795,12.548,8.303,1.572,0.636,0.952,901.3102919999999,0.20499999999999996,0.572208,0.6616990755498885,1.2576786243472418,2,1,Well-differentiated
456,2505,S2,C1,Train,79.082,141.919,33.854,0.867,12.087,9.009,1.305,0.766,0.967,955.8641339999999,0.133,0.30537,0.7453462397617275,1.1532739212841205,2,1,Well-differentiated
457,2505,S2,C2,Train,73.705,142.423,34.978,0.757,11.926,8.76,1.44,0.695,0.909,879.00583,0.243,0.43920000000000003,0.734529599195036,1.3209401241856236,2,1,Well-differentiated
458,2505,S2,C3,Train,68.481,140.738,34.493,0.723,12.108,7.831,1.528,0.654,0.937,829.167948,0.277,0.5286879999999999,0.6467624710934919,1.3825536059360062,0,3,Poorly-differentiated
459,2505,S2,C4,Train,111.192,153.327,41.803,0.8,14.031,10.811,1.26,0.794,0.955,1560.1349519999999,0.19999999999999996,0.25955999999999996,0.7705081605017461,1.2506376369703087,2,1,Well-differentiated
460,2505,S2,C5,Train,98.156,144.605,40.921,0.737,14.416,9.177,1.594,0.627,0.953,1415.016896,0.263,0.594562,0.6365843507214206,1.3575810286794827,0,3,Poorly-differentiated
461,2505,S3,C1,Train,82.43,142.823,40.94,0.618,16.715,6.733,2.597,0.385,0.923,1377.81745,0.382,1.5971549999999999,0.4028118456476219,1.6180819481697137,0,3,Poorly-differentiated
462,2505,S3,C2,Train,183.021,156.0,55.285,0.752,21.832,10.891,2.041,0.49,0.958,3995.7144719999997,0.248,1.04091,0.4988548919017955,1.3289353070936312,0,3,Poorly-differentiated
463,2505,S3,C3,Train,136.505,153.197,50.967,0.66,17.638,10.944,1.651,0.606,0.959,2407.67519,0.33999999999999997,0.650494,0.6204785123029822,1.514327184950388,0,3,Poorly-differentiated
464,2505,S3,C4,Validation,149.897,134.576,48.844,0.79,16.186,13.143,1.229,0.814,0.964,2426.232842,0.20999999999999996,0.22859400000000007,0.8119980229828248,1.266542128222536,1,2,Moderately-differentiated
465,2505,S3,C5,Train,82.38,126.539,35.521,0.82,12.129,9.459,1.19,0.84,0.935,999.18702,0.18000000000000005,0.19040000000000004,0.7798664358149888,1.218817596740963,2,1,Well-differentiated
466,2505,S4,C1,Validation,100.692,131.458,44.993,0.625,16.029,8.559,1.943,0.515,0.927,1613.9920679999998,0.375,0.942355,0.5339696799550814,1.599871389710863,0,3,Poorly-differentiated
467,2505,S4,C2,Train,35.813,144.843,25.459,0.694,8.161,6.306,1.009,0.991,0.906,292.269893,0.30600000000000005,0.009081000000000007,0.7726994240901851,1.4402308700605801,2,1,Well-differentiated
468,2505,S4,C3,Train,71.321,130.855,33.35,0.806,12.838,7.477,1.637,0.611,0.963,915.6189979999999,0.19399999999999995,0.636793,0.5824115905904347,1.2409788750369848,0,3,Poorly-differentiated
469,2505,S4,C4,Validation,22.472,133.427,21.976,0.585,8.606,3.517,2.788,0.359,0.868,193.394032,0.41500000000000004,1.787108,0.4086683709040205,1.710195276562378,0,3,Poorly-differentiated
470,2505,S4,C5,Train,25.465,140.086,21.336,0.703,7.216,4.505,1.596,0.627,0.955,183.75544,0.29700000000000004,0.5953080000000001,0.6243070953436807,1.4225661185331626,0,3,Poorly-differentiated
471,2505,S5,C1,Train,87.706,144.537,39.471,0.707,16.595,7.207,2.196,0.455,0.962,1455.48107,0.29300000000000004,1.19682,0.4342874359746912,1.4135692531515134,0,3,Poorly-differentiated
472,2505,S5,C2,Validation,102.518,147.759,39.716,0.817,14.673,8.786,1.714,0.583,0.96,1504.246614,0.18300000000000005,0.7147380000000001,0.5987868874804062,1.224393498902996,0,3,Poorly-differentiated
473,2505,S5,C3,Validation,68.075,159.545,32.025,0.834,11.418,7.658,1.429,0.7,0.963,777.28035,0.16600000000000004,0.4287000000000001,0.6706953932387459,1.1988939339470235,2,1,Well-differentiated
474,2505,S5,C4,Train,119.41,149.063,44.195,0.768,14.914,10.586,1.384,0.723,0.969,1780.8807399999998,0.23199999999999998,0.383368,0.7098028697867775,1.3016544699609638,2,1,Well-differentiated
475,2505,S5,C5,Train,74.416,132.742,33.303,0.843,12.426,8.248,1.435,0.697,0.979,924.693216,0.15700000000000003,0.4348050000000001,0.6637695155319491,1.186015947075871,2,1,Well-differentiated
476,2547,S1,C1,Train,41.748,135.311,23.975,0.913,8.621,6.306,1.272,0.786,0.957,359.909508,0.08699999999999997,0.27220799999999995,0.7314696670919847,1.0956496210723976,2,1,Well-differentiated
477,2547,S1,C2,Validation,68.176,106.577,32.601,0.806,11.398,8.657,1.343,0.745,0.956,777.070048,0.19399999999999995,0.342465,0.7595192138971749,1.240567680575182,2,1,Well-differentiated
478,2547,S1,C3,Train,39.414,143.941,25.983,0.734,9.555,5.631,1.62,0.617,0.947,376.60077,0.266,0.62046,0.5893249607535322,1.3630701597935577,0,3,Poorly-differentiated
479,2547,S1,C4,Validation,46.668,124.296,27.023,0.803,9.526,6.517,1.504,0.665,0.956,444.559368,0.19699999999999995,0.50384,0.6841276506403527,1.2451970102241015,2,1,Well-differentiated
480,2547,S1,C5,Validation,52.35,128.073,29.686,0.746,12.438,6.043,2.138,0.468,0.949,651.1293000000001,0.254,1.137416,0.4858498150828107,1.3396051737881909,0,3,Poorly-differentiated
481,2547,S2,C1,Train,60.364,104.271,30.458,0.818,10.634,7.724,1.364,0.733,0.965,641.9107759999999,0.18200000000000005,0.36418800000000007,0.7263494451758511,1.2229674275756561,2,1,Well-differentiated
482,2547,S2,C2,Train,42.661,96.256,25.195,0.845,9.373,6.511,1.357,0.737,0.972,399.86155299999996,0.15500000000000003,0.356891,0.6946548597034035,1.1840984973897897,2,1,Well-differentiated
483,2547,S2,C3,Train,36.726,92.504,24.399,0.775,9.016,5.825,1.6,0.625,0.969,331.121616,0.22499999999999998,0.6000000000000001,0.6460736468500444,1.2899134171584556,2,1,Well-differentiated
484,2547,S2,C4,Train,21.762,107.287,18.177,0.828,5.912,5.084,1.117,0.895,0.959,128.656944,0.17200000000000004,0.11728499999999997,0.8599458728010825,1.2081914121948298,2,1,Well-differentiated
485,2547,S2,C5,Validation,34.595,89.931,23.52,0.786,8.547,5.753,1.567,0.638,0.939,295.683465,0.21399999999999997,0.5672539999999999,0.673101673101673,1.2724813792597602,2,1,Well-differentiated
486,2547,S3,C1,Train,49.458,144.307,29.498,0.714,10.353,6.839,1.495,0.669,0.934,512.038674,0.28600000000000003,0.494845,0.660581473968898,1.4000344694392906,0,3,Poorly-differentiated
487,2547,S3,C2,Train,57.219,112.509,30.078,0.795,11.326,6.449,1.72,0.581,0.961,648.062394,0.20499999999999996,0.7206800000000001,0.5693978456648419,1.2581945002101542,0,3,Poorly-differentiated
488,2547,S3,C3,Train,51.842,109.007,28.308,0.813,10.322,7.561,1.24,0.806,0.95,535.113124,0.18700000000000006,0.24055999999999994,0.732513078860686,1.2300613201363415,2,1,Well-differentiated
489,2547,S3,C4,Train,34.24,101.025,24.788,0.7,9.691,4.998,1.9,0.526,0.908,331.81984000000006,0.30000000000000004,0.9006,0.5157362501289856,1.4280366544308238,0,3,Poorly-differentiated
490,2547,S3,C5,Train,36.929,88.823,24.394,0.78,8.215,6.502,1.274,0.785,0.938,303.371735,0.21999999999999997,0.27391,0.7914790018259281,1.2822970034584125,2,1,Well-differentiated
491,2547,S4,C1,Train,33.277,143.489,23.488,0.758,7.686,6.197,1.184,0.844,0.965,255.767022,0.242,0.18470400000000003,0.8062711423367162,1.3192832414716948,2,1,Well-differentiated
492,2547,S4,C2,Train,37.182,186.334,24.524,0.777,8.839,5.256,1.646,0.607,0.97,328.651698,0.22299999999999998,0.646878,0.5946374024210883,1.2871821375562567,0,3,Poorly-differentiated
493,2547,S4,C3,Train,29.421,157.283,23.536,0.667,8.38,5.134,1.593,0.628,0.952,246.54798000000002,0.33299999999999996,0.592596,0.6126491646778043,1.4982973683936125,0,3,Poorly-differentiated
494,2547,S4,C4,Train,65.843,202.555,33.115,0.755,12.469,7.502,1.709,0.585,0.94,820.996367,0.245,0.7092350000000001,0.6016520972010586,1.3253483579823513,0,3,Poorly-differentiated
495,2547,S4,C5,Validation,46.82,153.394,27.043,0.804,9.558,6.933,1.423,0.703,0.953,447.50556,0.19599999999999995,0.4226310000000001,0.7253609541745135,1.2429923704543022,2,1,Well-differentiated
496,2547,S5,C1,Train,48.038,139.309,26.402,0.866,9.286,6.532,1.365,0.732,0.956,446.08086799999995,0.134,0.36582000000000003,0.7034245100150764,1.1547258059862782,2,1,Well-differentiated
497,2547,S5,C2,Validation,44.741,145.159,26.211,0.818,8.884,6.757,1.274,0.785,0.967,397.479044,0.18200000000000005,0.27391,0.7605808194506978,1.2219449196815773,2,1,Well-differentiated
498,2547,S5,C3,Train,36.016,118.069,22.764,0.873,8.281,5.856,1.321,0.757,0.95,298.248496,0.127,0.321003,0.7071609708972346,1.1449639483440341,2,1,Well-differentiated
499,2547,S5,C4,Train,40.023,141.061,25.207,0.792,8.309,6.871,1.128,0.886,0.942,332.551107,0.20799999999999996,0.12859199999999998,0.8269346491755929,1.2633474842414643,2,1,Well-differentiated
500,2547,S5,C5,Train,43.016,132.238,25.457,0.834,8.454,6.982,1.013,0.987,0.951,363.657264,0.16600000000000004,0.01316900000000001,0.8258812396498698,1.1988768043611007,2,1,Well-differentiated
501,2555,S1,C1,Validation,290.459,194.405,67.762,0.795,25.326,16.216,1.536,0.651,0.963,7356.164634000001,0.20499999999999996,0.536064,0.6402906104398642,1.257991566505982,1,2,Moderately-differentiated
502,2555,S1,C2,Train,192.202,186.924,58.443,0.707,17.713,15.224,1.037,0.964,0.948,3404.4740260000003,0.29300000000000004,0.03733200000000003,0.8594817365776548,1.4141557236011306,1,2,Moderately-differentiated
503,2555,S1,C3,Validation,181.956,187.83,53.655,0.794,19.993,13.284,1.503,0.665,0.948,3637.8463079999997,0.20599999999999996,0.5035049999999999,0.6644325513929876,1.2590534093227603,1,2,Moderately-differentiated
504,2555,S1,C4,Train,192.913,150.079,54.505,0.816,19.122,14.577,1.185,0.844,0.96,3688.882386,0.18400000000000005,0.18486000000000005,0.762315657358017,1.2254661768298685,1,2,Moderately-differentiated
505,2555,S1,C5,Validation,226.646,178.871,61.819,0.745,21.254,13.182,1.596,0.626,0.966,4817.134084,0.255,0.596904,0.6202126658511339,1.3417945646020268,1,2,Moderately-differentiated
506,2555,S2,C1,Train,202.551,159.129,53.621,0.885,18.542,14.603,1.205,0.83,0.969,3755.7006420000002,0.11499999999999999,0.20485000000000006,0.7875633696472871,1.1296022855984669,1,2,Moderately-differentiated
507,2555,S2,C2,Train,222.131,142.641,57.886,0.833,20.784,13.829,1.467,0.682,0.977,4616.770704,0.16700000000000004,0.466506,0.6653675904541956,1.2004056884706078,1,2,Moderately-differentiated
508,2555,S2,C3,Train,168.006,161.262,51.781,0.787,17.713,13.351,1.36,0.735,0.969,2975.8902780000003,0.21299999999999997,0.36040000000000005,0.7537401908203015,1.270007280593698,1,2,Moderately-differentiated
509,2555,S2,C4,Train,292.691,136.716,69.426,0.763,25.466,15.632,1.646,0.608,0.965,7453.669006,0.237,0.645232,0.6138380585879211,1.3104638811194274,1,2,Moderately-differentiated
510,2555,S2,C5,Train,254.291,140.19,64.494,0.768,21.463,16.734,1.29,0.775,0.936,5457.8477330000005,0.23199999999999998,0.29024999999999995,0.779667334482598,1.3016606403720197,1,2,Moderately-differentiated
511,2555,S3,C1,Validation,258.147,146.993,61.346,0.862,23.119,16.519,1.334,0.75,0.979,5968.100493,0.138,0.3335,0.7145205242441282,1.1601003403020465,1,2,Moderately-differentiated
512,2555,S3,C2,Validation,162.02,156.242,49.376,0.835,16.44,13.674,1.209,0.827,0.945,2663.6088000000004,0.16500000000000004,0.20915700000000007,0.8317518248175182,1.19743877421283,1,2,Moderately-differentiated
513,2555,S3,C3,Train,248.559,146.929,61.134,0.836,20.979,15.669,1.295,0.772,0.962,5214.5192609999995,0.16400000000000003,0.29525999999999997,0.746889746889747,1.1965373735024019,1,2,Moderately-differentiated
514,2555,S3,C4,Train,186.724,151.884,52.851,0.84,19.453,13.516,1.348,0.742,0.957,3632.3419719999997,0.16000000000000003,0.34778400000000004,0.6948028581709762,1.1904095760931432,1,2,Moderately-differentiated
515,2555,S3,C5,Train,207.674,143.489,56.088,0.83,17.619,15.492,1.084,0.922,0.974,3659.008206,0.17000000000000004,0.08455199999999996,0.8792780521028436,1.2054464332347257,1,2,Moderately-differentiated
516,2555,S4,C1,Train,204.123,146.323,56.75,0.796,18.608,14.877,1.237,0.808,0.975,3798.320784,0.20399999999999996,0.23750399999999997,0.7994948409286329,1.2555381838680408,1,2,Moderately-differentiated
517,2555,S4,C2,Train,172.774,144.892,47.962,0.944,16.429,13.964,1.121,0.892,0.979,2838.5040459999996,0.05600000000000005,0.12106799999999998,0.849960435814718,1.0595130675653324,1,2,Moderately-differentiated
518,2555,S4,C3,Train,215.587,157.788,55.29,0.886,17.865,15.315,1.067,0.938,0.981,3851.4617549999994,0.11399999999999999,0.06615400000000006,0.8572628043660789,1.1283939441346857,1,2,Moderately-differentiated
519,2555,S4,C4,Validation,216.5,146.703,55.87,0.872,18.455,14.865,1.188,0.841,0.983,3995.5074999999997,0.128,0.18889200000000003,0.8054727716066108,1.1473332454579768,1,2,Moderately-differentiated
520,2555,S4,C5,Validation,262.966,134.804,65.959,0.76,24.833,14.174,1.757,0.569,0.972,6530.234678,0.24,0.757267,0.5707727620504973,1.3165539520237257,1,2,Moderately-differentiated
521,2555,S5,C1,Train,288.38,190.566,71.048,0.718,21.229,17.828,1.072,0.933,0.949,6122.01902,0.28200000000000003,0.07182399999999994,0.8397946205662066,1.392928141534343,1,2,Moderately-differentiated
522,2555,S5,C2,Train,247.545,176.926,62.691,0.792,20.589,15.498,1.307,0.765,0.945,5096.704005,0.20799999999999996,0.30714499999999995,0.7527320413813201,1.263415998809336,1,2,Moderately-differentiated
523,2555,S5,C3,Train,332.156,192.911,76.384,0.715,22.764,18.513,1.187,0.842,0.971,7561.199184,0.28500000000000003,0.18754600000000005,0.8132577754348973,1.397825081239634,1,2,Moderately-differentiated
524,2555,S5,C4,Train,264.386,163.955,69.358,0.691,24.053,16.855,1.398,0.715,0.969,6359.276458000001,0.30900000000000005,0.39843,0.70074418991394,1.4479207915758627,1,2,Moderately-differentiated
525,2555,S5,C5,Train,221.319,179.696,56.099,0.884,19.08,16.066,1.152,0.868,0.957,4222.766519999999,0.11599999999999999,0.152064,0.8420335429769392,1.1315706546269952,1,2,Moderately-differentiated
526,2556,S1,C1,Train,221.674,217.895,55.259,0.912,17.933,16.063,1.072,0.932,0.963,3975.279842,0.08799999999999997,0.07289599999999995,0.8957229688284168,1.0961788560101975,1,2,Moderately-differentiated
527,2556,S1,C2,Validation,123.671,203.768,44.713,0.777,14.43,12.162,1.149,0.87,0.959,1784.5725300000001,0.22299999999999998,0.14937,0.8428274428274429,1.286441029079299,2,1,Well-differentiated
528,2556,S1,C3,Train,149.288,200.732,45.811,0.894,15.342,13.303,1.11,0.901,0.958,2290.3764960000003,0.10599999999999998,0.10988999999999999,0.8670968582974841,1.1186771830478364,1,2,Moderately-differentiated
529,2556,S1,C4,Validation,201.79,161.185,54.68,0.848,18.84,14.478,1.331,0.751,0.965,3801.7236,0.15200000000000002,0.33141899999999996,0.7684713375796178,1.1790914969084725,1,2,Moderately-differentiated
530,2556,S1,C5,Train,635.957,154.868,93.684,0.911,31.289,26.657,1.129,0.886,0.969,19898.458573,0.08899999999999997,0.128706,0.8519607529802806,1.0982298275487032,1,2,Moderately-differentiated
531,2556,S2,C1,Train,220.153,159.893,58.27,0.815,20.23,14.504,1.385,0.722,0.957,4453.69519,0.18500000000000005,0.38503000000000004,0.7169550173010381,1.2273136495394692,1,2,Moderately-differentiated
532,2556,S2,C2,Validation,338.193,159.621,69.546,0.879,22.671,20.067,1.107,0.903,0.963,7667.173502999999,0.121,0.10737899999999997,0.8851396056636232,1.1380722506787793,1,2,Moderately-differentiated
533,2556,S2,C3,Train,288.278,146.47,67.74,0.789,21.716,17.568,1.198,0.835,0.971,6260.245048000001,0.21099999999999997,0.19767000000000004,0.8089887640449438,1.2666861448729136,1,2,Moderately-differentiated
534,2556,S2,C4,Validation,310.395,151.72,68.807,0.824,23.112,18.694,1.152,0.868,0.944,7173.849239999999,0.17600000000000005,0.152064,0.8088438906195916,1.213781922499846,1,2,Moderately-differentiated
535,2556,S2,C5,Validation,155.679,145.991,51.269,0.744,16.85,13.64,1.191,0.839,0.947,2623.19115,0.256,0.19175100000000006,0.8094955489614243,1.3435993837364455,1,2,Moderately-differentiated
536,2556,S3,C1,Train,193.318,110.904,58.279,0.715,17.492,15.221,1.141,0.876,0.952,3381.5184560000002,0.28500000000000003,0.141484,0.8701692202149554,1.398112198344922,1,2,Moderately-differentiated
537,2556,S3,C2,Train,178.455,114.49,52.124,0.825,19.038,12.326,1.506,0.664,0.967,3397.4262900000003,0.17500000000000004,0.5060159999999999,0.6474419581888854,1.2115375737104677,2,1,Well-differentiated
538,2556,S3,C3,Train,155.324,115.515,46.754,0.893,15.567,13.288,1.11,0.901,0.971,2417.9287080000004,0.10699999999999998,0.10988999999999999,0.8536005652983876,1.1199254519793331,1,2,Moderately-differentiated
539,2556,S3,C4,Train,193.927,125.087,60.077,0.675,22.635,11.237,2.11,0.474,0.957,4389.537645,0.32499999999999996,1.10986,0.4964435608570797,1.481045265575835,0,3,Poorly-differentiated
