Serial number,Case no.,Slide number,Cells, ,Area,Mean,Min,Max,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
548,2556,S5,C3,23,179.571,147.121,109,203,52.848,0.808,17.179,26418.716,520808,1455,78,145.685,14.101,1.202,0.832,0.955
549,2556,S5,C4,24,98.358,114.437,87,167,39.591,0.789,14.11,11255.834,221893,1044,606,118.61,9.459,1.358,0.736,0.951
550,2556,S5,C5,25,296.749,174.873,143,223,80.326,0.578,22.943,51893.566,1023009,555,1722,76.373,17.568,1.235,0.81,0.946
551,2837,S1,C1,1,140.816,142.576,113,199,46.756,0.809,17.123,20077.104,395792,1502,635,116.565,10.852,1.625,0.615,0.952
552,2837,S1,C2,2,42.255,134.215,104,190,26.584,0.751,8.7,5671.262,111801,1612,701,68.749,6.339,1.382,0.724,0.957
553,2837,S1,C3,3,61.835,99.446,81,143,29.913,0.868,10.545,6149.308,121225,1532,771,19.983,7.883,1.277,0.783,0.953
554,2837,S1,C4,4,53.212,132.078,105,172,30.079,0.739,10.375,7028.143,138550,1571,819,117.121,6.982,1.435,0.697,0.965
555,2837,S1,C5,5,154.716,144.503,107,196,47.02,0.879,16.443,22356.799,440733,1647,1144,143.915,13.094,1.25,0.8,0.967
556,2837,S2,C1,6,218.276,150.761,126,224,57.247,0.837,19.135,32907.434,648724,1184,528,132.138,14.837,1.255,0.797,0.963
557,2837,S2,C2,7,214.471,171.209,142,222,57.06,0.828,18.365,36719.473,723873,673,858,23.106,14.865,1.219,0.821,0.968
558,2837,S2,C3,8,167.296,131.935,105,222,52.771,0.755,16.497,22072.123,435121,689,883,141.096,14.166,1.071,0.933,0.942
559,2837,S2,C4,9,124.381,137.46,110,219,45.794,0.745,15.5,17097.435,337052,815,713,35.538,11.183,1.331,0.751,0.958
560,2837,S2,C5,10,91.46,122.287,97,189,37.267,0.828,13.26,11184.309,220483,874,506,110.898,9.464,1.446,0.691,0.953
561,2837,S3,C1,11,222.587,129.914,101,209,62.064,0.726,20.115,28917.296,570064,1615,977,55.954,14.64,1.301,0.769,0.934
562,2837,S3,C2,12,98.409,164.888,125,231,39.615,0.788,13.104,16226.514,319883,1578,816,61.232,10.364,1.319,0.758,0.961
563,2837,S3,C3,13,40.125,141.311,111,244,26.069,0.742,8.764,5670.045,111777,1730,637,64.093,6.757,1.375,0.727,0.908
564,2837,S3,C4,14,349.86,113.509,86,199,72.357,0.84,24.882,39712.128,782869,641,395,62.507,19.01,1.286,0.778,0.964
565,2837,S3,C5,15,102.518,162.636,126,228,40.343,0.792,15.036,16673.16,328688,456,1096,16.535,10.372,1.467,0.682,0.951
566,2837,S4,C1,16,141.476,150.16,108,228,46.774,0.813,15.257,21244.065,418797,1108,1334,31.109,12.838,1.155,0.866,0.969
567,2837,S4,C2,17,83.546,150.863,114,225,35.635,0.827,13.198,12604.04,248471,1045,1106,154.747,8.352,1.627,0.615,0.958
568,2837,S4,C3,18,109.214,128.585,97,193,40.929,0.819,13.442,14043.249,276843,840,1486,31.293,10.942,1.204,0.83,0.949
569,2837,S4,C4,19,103.025,125.233,97,199,40.023,0.808,13.514,12902.21,254349,1930,707,36.87,10.592,1.248,0.801,0.944
570,2837,S4,C5,20,81.416,148.733,114,216,34.368,0.866,12.909,12109.255,238717,1051,1097,137.121,8.072,1.567,0.638,0.963
571,2837,S5,C1,21,76.901,142.418,105,234,35.191,0.78,12.717,10952.135,215906,434,261,157.068,8.44,1.572,0.636,0.933
572,2837,S5,C2,22,57.93,172.813,127,218,30.762,0.769,11.396,10010.957,197352,773,249,18.435,6.532,1.762,0.568,0.958
573,2837,S5,C3,23,53.821,123.879,85,228,29.571,0.773,9.758,6667.275,131436,831,193,71.147,7.756,1.338,0.748,0.927
574,2837,S5,C4,24,38.501,139.647,104,200,26.665,0.68,8.772,5376.593,105992,729,150,48.122,6.552,1.296,0.771,0.946
575,2837,S5,C5,25,54.48,153.238,111,239,29.82,0.77,10.794,8348.45,164578,646,106,23.356,7.416,1.509,0.663,0.933
